bibkey,type,doi,status,http_code
tasneem2012aact,article,10.1371/journal.pone.0033677,PASS,200
fdaaa2017finalrule,misc,,NO_DOI,0
who2009surveillance,techreport,,NO_DOI,0
devito2020fdaaa,article,10.1016/S0140-6736(19)33220-9,PASS,200
wilson1927ci,article,10.1080/01621459.1927.10502953,PASS,200
who2015malariaguidelines,techreport,,NO_DOI,0
